#daq_ch domain det_def clover Time_Offset thete phi threshold cs_dom nb_par_cal cal_pars 
#clover33
002  101 2  32 0 0 0 		25 	0  1 2    0.0046  0.658198
003  102 2  32 0 0 0	 	10 	0  1 2    2.4780  0.633656
004  103 2  32 0 0 0		10	0  1 2    4.3334  0.643511
005  104 2  32 0 0 0		22	0  1 2   -0.8352  0.639398
006  105 2  32 0 0 0	 	15    	0  1 2    4.3984  0.645942
007  106 2  32 0 0 0	 	15	0  1 2    1.7475  0.671652
008  107 2  32 0 0 0	 	15	0  1 2   -1.0761  0.640190
009  108 2  32 0 0 0	 	18	0  1 2    3.2113  0.656636
000  109 1  32 0 0 0 		10 	0  1 2   -0.3456  0.674765
001  110 1  32 0 0 0  		10 	0  1 2    -0.0000  1.000000   
#
102  111 2  32 -31 0 0 	12	0  1 2   0.3951  0.642273 
103  112 2  32 -31 0 0		14	0  1 2  -0.4500  0.650122 
104  113 2  32 -31 0 0		17	0  1 2   2.1086  0.634857 
105  114 2  32 -31 0 0		16	0  1 2   0.9410  0.668236 
106  115 2  32 -31 0 0		20	0  1 2   2.4636  0.672534 
107  116 2  32 -31 0 0		15	0  1 2   5.1760  0.676314 
108  117 2  32 -31 0 0		14	0  1 2   3.2165  0.675096 
109  118 2  32 -31 0 0		12	0  1 2   7.1021  0.655829 
100  119 1  32 -31 0 0		20	0  1 2  -1.3232  0.662778
101  120 1  32 -31 0 0 	20	0  1 2   -0.0000  1.000000    
#
202  121 2  32 -52 0 0		16	0  1 2    2.1508  0.642990 
203  122 2  32 -52 0 0		19	0  1 2   -5.5002  0.622278 
204  123 2  32 -52 0 0		14	0  1 2    0.0394  0.640649 
205  124 2  32 -52 0 0		15	0  1 2    2.0983  0.627665 
206  125 2  32 -52 0 0		15	0  1 2    0.4054  0.642795 
207  126 2  32 -52 0 0		15	0  1 2    0.3158  0.661947 
208  127 2  32 -52 0 0		15	0  1 2   -5.7279  0.647763 
209  128 2  32 -52 0 0		15	0  1 2   -0.9114  0.646371 
200  129 1  32 -52 0 0		11	0  1 2    5.2830  0.615030 
201  130 1  32 -52 0 0		10	0  1 2  -0.0000  1.000000 
#
302  131 2  32 -72 0 0		15	0  1 2  1.2344  0.643694
303  132 2  32 -72 0 0		15	0  1 2  3.2203  0.632752
304  133 2  32 -72 0 0		15	0  1 2  0.4083  0.616684
305  134 2  32 -72 0 0		15	0  1 2  4.1661  0.676881
306  135 2  32 -72 0 0		15	0  1 2  2.4931  0.672084
307  136 2  32 -72 0 0		15	0  1 2  3.1262  0.654386
308  137 2  32 -72 0 0		15	0  1 2  2.0210  0.642996
309  138 2  32 -72 0 0		15	0  1 2  0.7635  0.647106
300  139 1  32 -72 0 0		15	0  1 2  3.3509  0.661878
301  140 1  32 -72 0 0		10	0  1 2 -0.0000  1.000000
#pulser
015  50 9   GEN 0 0 0		10	0  1 2 0.0000 1.000000
115  51 9   GEN 0 0 0	 	10	0  1 2 0.0000 1.000000
215  52 9   GEN 0 0 0	 	10	0  1 2 0.0000 1.000000
315  53 9   GEN 0 0 0		10	0  1 2 0.0000 1.000000
407  54 9   GEN 0 0 0		10	0  1 2 0.0000 1.000000
507  55 9   GEN 0 0 0		10	0  1 2 0.0000 1.000000
#bgo_board1
400 150 5 0 0 0 0		200 	0  1 2 0.0000 1.000000
401 151 5 0 0 0 0		200 	0  1 2 0.0000 1.000000
402 152 5 0 0 0 0		200 	0  1 2 0.0000 1.000000
403 153 5 0 0 0 0		200 	0  1 2 0.0000 1.000000
#bgo_board2
500 154 6 0 0 0 0		200 	0  1 2 0.0000 1.000000
501 155 6 0 0 0 0		200 	0  1 2 0.0000 1.000000
502 156 6 0 0 0 0		200 	0  1 2 0.0000 1.000000
503 157 6 0 0 0 0		200 	0  1 2 0.0000 1.000000
504 158 4 0 0 0 0		200 	0  1 2 0.0000 1.000000
505 159 4 0 0 0 0		200 	0  1 2 0.0000 1.000000
