#daq_ch	domain	det_def	Serial	theta	Phi	Time_Offset	lowThreshold	cs_dom	nothing	nb_par_cal	cal_pars	cal_pars
0	109	1	B32	90	0	0	10	0	1	2	2.9134	0.672694
100	119	1	G32	90	0	37500	20	0	1	2	-1.3452	0.66253
#200	129	1	R32	90	0	50500	11	0	1	2	2.6477	0.61622
300	139	1	W32	90	0	71500	15	0	1	2	4.4501	0.661489
400	209	1	29	90	0	92500	10	0	1	2	-0.0477	0.634591
500	219	1	29	90	0	113500	20	0	1	2	-3.1349	0.637246
600	229	1	29	90	0	127500	11	0	1	2	0.485	0.632857
700	239	1	29	90	0	148500	15	0	1	2	-1.263	0.635122
800	309	1	29	90	0	158500	10	0	1	2	-0.0477	0.634591
900	319	1	G29	90	0	179500	20	0	1	2	-3.1349	0.637246
1000	329	1	R29	90	0	200500	11	0	1	2	0.485	0.632857
1100	339	1	W29	90	0	237500	15	0	1	2	-1.263	0.635122
#pulser												
15	50	9	GEN	0	0	0	10	0	1	2	0	1
115	51	9	GEN	0	0	37500	10	0	1	2	0	1
#215	52	9	GEN	0	0	50500	10	0	1	2	0	1
315	53	9	GEN	0	0	71500	10	0	1	2	0	1
415	54	9	GEN	0	0	92500	10	0	1	2	0	1
515	55	9	GEN	0	0	113500	10	0	1	2	0	1
615	56	9	GEN	0	0	127500	10	0	1	2	0	1
715	57	9	GEN	0	0	148500	10	0	1	2	0	1
815	58	9	GEN	0	0	149950	10	0	1	2	0	1
915	59	9	GEN	0	0	162950	10	0	1	2	0	1
1015	60	9	GEN	0	0	184250	10	0	1	2	0	1
1115	61	9	GEN	0	0	221550	10	0	1	2	0	1

