#daq_ch	domain	det_def	Serial	theta	Phi	Time_Offset	lowThreshold	cs_dom	nothing	nb_par_cal	cal_pars	cal_pars
#eliade01												
2	101	2	B32	90	0	0	25	0	1	2	-5.2713	0.660574
3	102	2	B32	90	0	0	10	0	1	2	4.1739	0.632151
4	103	2	B32	90	0	0	10	0	1	2	7.4877	0.64125
5	104	2	B32	90	0	0	22	0	1	2	2.4713	0.636968
6	105	2	B32	90	0	0	15	0	1	2	9.2276	0.641741
7	106	2	B32	90	0	0	15	0	1	2	7.6416	0.667004
8	107	2	B32	90	0	0	15	0	1	2	0.2024	0.640026
9	108	2	B32	90	0	0	18	0	1	2	6.4334	0.655368
0	109	1	B32	90	0	0	10	0	1	2	2.9134	0.672694
1	110	1	B32	90	0	0	10	0	1	2	0	1
#												
102	111	2	G32	90	0	37500	12	0	1	2	-1.4003	0.642512
103	112	2	G32	90	0	37500	14	0	1	2	-1.1431	0.649814
104	113	2	G32	90	0	37500	17	0	1	2	2.0472	0.634293
105	114	2	G32	90	0	37500	16	0	1	2	5.0302	0.665012
106	115	2	G32	90	0	37500	20	0	1	2	2.7366	0.671804
107	116	2	G32	90	0	37500	15	0	1	2	6.81	0.674572
108	117	2	G32	90	0	37500	14	0	1	2	3.6639	0.674535
109	118	2	G32	90	0	37500	12	0	1	2	5.459	0.656309
100	119	1	G32	90	0	37500	20	0	1	2	-1.3452	0.66253
101	120	1	G32	90	0	37500	20	0	1	2	0	1
#												
#202	121	2	R32	90	0	50500	16	0	1	2	10.7448	3.497397
#203	122	2	R32	90	0	50500	19	0	1	2	-0.8464	0.619298
#204	123	2	R32	90	0	50500	14	0	1	2	1.1358	0.638883
#205	124	2	R32	90	0	50500	15	0	1	2	2.6959	0.626269
#206	125	2	R32	90	0	50500	15	0	1	2	2.0927	0.641272
#207	126	2	R32	90	0	50500	15	0	1	2	1.4505	0.660767
#208	127	2	R32	90	0	50500	15	0	1	2	-1.1619	0.644436
#209	128	2	R32	90	0	50500	15	0	1	2	-1.8631	0.645251
#200	129	1	R32	90	0	50500	11	0	1	2	2.6477	0.61622
#201	130	1	R32	90	0	50500	10	0	1	2	0	1
#												
302	131	2	W32	90	0	71500	15	0	1	2	0.4035	0.643625
303	132	2	W32	90	0	71500	15	0	1	2	3.8851	0.631596
304	133	2	W32	90	0	71500	15	0	1	2	6.4006	0.612941
305	134	2	W32	90	0	71500	15	0	1	2	3.4214	0.676402
306	135	2	W32	90	0	71500	15	0	1	2	3.8619	0.670459
307	136	2	W32	90	0	71500	15	0	1	2	1.3244	0.654848
308	137	2	W32	90	0	71500	15	0	1	2	-1.4717	0.644449
309	138	2	W32	90	0	71500	15	0	1	2	0.3709	0.646375
300	139	1	W32	90	0	71500	15	0	1	2	4.4501	0.661489
301	140	1	W32	90	0	71500	10	0	1	2	0	1
#pulser												
15	50	9	GEN	0	0	0	10	0	1	2	0	1
115	51	9	GEN	0	0	37500	10	0	1	2	0	1
#215	52	9	GEN	0	0	50500	10	0	1	2	0	1
315	53	9	GEN	0	0	71500	10	0	1	2	0	1
415	54	9	GEN	0	0	92500	10	0	1	2	0	1
515	55	9	GEN	0	0	113500	10	0	1	2	0	1
615	56	9	GEN	0	0	127500	10	0	1	2	0	1
715	57	9	GEN	0	0	148500	10	0	1	2	0	1
815	58	9	GEN	0	0	149950	10	0	1	2	0	1
915	59	9	GEN	0	0	162950	10	0	1	2	0	1
1015	60	9	GEN	0	0	184250	10	0	1	2	0	1
1115	61	9	GEN	0	0	221550	10	0	1	2	0	1
