#daq_ch domain det_def Clover Time_Offset UpperThresholdCS AwAe offset and slope nb_par_cal cal_pars 
#eliade01
002  101 2  32 0     		25 	0  1 2    0.0046  0.658198
003  102 2  32 0	 	10 	0  1 2    2.4780  0.633656
004  103 2  32 0 		10	0  1 2    4.3334  0.643511
005  104 2  32 0 		22	0  1 2   -0.8352  0.639398
006  105 2  32 0	 	15    	0  1 2    4.3984  0.645942
007  106 2  32 0	 	15	0  1 2    1.7475  0.671652
008  107 2  32 0	 	15	0  1 2   -1.0761  0.640190
009  108 2  32 0	 	18	0  1 2    3.2113  0.656636
000  109 1  32 0    		10 	0  1 2   -0.3456  0.674765
001  110 1  32 0    		10 	0  1 2    -0.0000  1.000000   
#
102  111 2  32 -31 		12	0  1 2   0.3951  0.642273 
103  112 2  32 -31		14	0  1 2  -0.4500  0.650122 
104  113 2  32 -31		17	0  1 2   2.1086  0.634857 
105  114 2  32 -31		16	0  1 2   0.9410  0.668236 
106  115 2  32 -31		20	0  1 2   2.4636  0.672534 
107  116 2  32 -31		15	0  1 2   5.1760  0.676314 
108  117 2  32 -31		14	0  1 2   3.2165  0.675096 
109  118 2  32 -31		12	0  1 2   7.1021  0.655829 
100  119 1  32 -31 		20	0  1 2  -1.3232  0.662778
101  120 1  32 -31 		20	0  1 2   -0.0000  1.000000    
#
202  121 2  32 -52		16	0  1 2    2.1508  0.642990 
203  122 2  32 -52		19	0  1 2   -5.5002  0.622278 
204  123 2  32 -52		14	0  1 2    0.0394  0.640649 
205  124 2  32 -52		15	0  1 2    2.0983  0.627665 
206  125 2  32 -52		15	0  1 2    0.4054  0.642795 
207  126 2  32 -52		15	0  1 2    0.3158  0.661947 
208  127 2  32 -52		15	0  1 2   -5.7279  0.647763 
209  128 2  32 -52		15	0  1 2   -0.9114  0.646371 
200  129 1  32 -52		11	0  1 2    5.2830  0.615030 
201  130 1  32 -52		10	0  1 2  -0.0000  1.000000 
#
302  131 2  32 -72		15	0  1 2  1.2344  0.643694
303  132 2  32 -72		15	0  1 2  3.2203  0.632752
304  133 2  32 -72		15	0  1 2  0.4083  0.616684
305  134 2  32 -72		15	0  1 2  4.1661  0.676881
306  135 2  32 -72		15	0  1 2  2.4931  0.672084
307  136 2  32 -72		15	0  1 2  3.1262  0.654386
308  137 2  32 -72		15	0  1 2  2.0210  0.642996
309  138 2  32 -72		15	0  1 2  0.7635  0.647106
300  139 1  32 -72		15	0  1 2  3.3509  0.661878
301  140 1  32 -72 		10	0  1 2 -0.0000  1.000000
#pulser
15   50 9  32 0		10	0  1 2 0.0000 1.000000
115  51 9  32 -31	 	10	0  1 2 0.0000 1.000000
215  52 9  32 -52	 	10	0  1 2 0.0000 1.000000
315  53 9  32 -72 		10	0  1 2 0.0000 1.000000
#eliade02
402  201 2  29 0     		25 	0  1 2   0.3795  0.633283  
403  202 2  29 0	 	10 	0  1 2   2.8631  0.633985  
404  203 2  29 0		10	0  1 2   1.7271  0.643213  
405  204 2  29 0		22	0  1 2   2.3551  0.633102  
406  205 2  29 0	 	15    	0  1 2  -0.9303  0.635381  
407  206 2  29 0	 	15	0  1 2   2.2367  0.664634  
408  207 2  29 0	 	15	0  1 2  -3.5044  0.648128  
409  208 2  29 0	 	18	0  1 2  -1.7058  0.640646  
400  209 1  29 0     		10 	0  1 2  -0.0477  0.634591  
401  210 1  29 0		10	0  1 2  0.0000 1.000000		   
#
502  211 2  29 -31 		12	0  1 2   -0.7387  0.643751 
503  212 2  29 -31		14	0  1 2   -3.4164  0.657031 
504  213 2  29 -31		17	0  1 2   -8.6658  0.647199 
505  214 2  29 -31		16	0  1 2   -1.8083  0.642255 
506  215 2  29 -31		20	0  1 2    4.8029  0.642205 
507  216 2  29 -31		15	0  1 2    4.0072  0.649599 
508  217 2  29 -31		14	0  1 2    1.7164  0.622537 
509  218 2  29 -31		12	0  1 2    4.3805  0.659383 
500  219 1  29 -31 		20	0  1 2   -3.1349  0.637246 
501  220 1  29 -31 		20	0  1 2   0.0000 1.000000	
#
602  221 2  29 -52		16	0  1 2   -0.5453  0.645707  
603  222 2  29 -52		19	0  1 2    1.2227  0.627829  
604  223 2  29 -52		14	0  1 2    1.8482  0.644343  
605  224 2  29 -52		15	0  1 2    0.3372  0.643323  
606  225 2  29 -52		15	0  1 2   -0.8816  0.627474  
607  226 2  29 -52		15	0  1 2    0.7228  0.667107  
608  227 2  29 -52		15	0  1 2    5.2535  0.650623  
609  228 2  29 -52		15	0  1 2    0.3435  0.654040  
600  229 1  29 -52		11	0  1 2    0.4850  0.632857  
601  230 1  29 0		500	0  1 2  -0.0000  1.000000 
#
702  231 2  29 -72		15	0  1 2   0.9449  0.641370
703  232 2  29 -72		15	0  1 2  -0.7072  0.633667
704  233 2  29 -72		15	0  1 2   2.8414  0.653475
705  234 2  29 -72		15	0  1 2   0.9016  0.643372
706  235 2  29 -72		15	0  1 2   1.2560  0.648900
707  236 2  29 -72		15	0  1 2  -0.3769  0.643994
708  237 2  29 -72		15	0  1 2   3.2842  0.627676
709  238 2  29 -72		15	0  1 2   2.6707  0.621298
700  239 1  29 -72		15	0  1 2  -1.2630  0.635122
701  240 1  29 -72 		10	0  1 2 -0.0000  1.000000
#pulser
415  54 9  29 0		10	0  1 2 -0.0000 1.000000
515  55 9  29 -31	 	10	0  1 2 0.0000 1.000000
615  56 9  29 -52	 	10	0  1 2 0.0000 1.000000
715  57 9  29 -72 		10	0  1 2 0.0000 1.000000
