5daq_ch domain det_def clover Time_Offset thete phi threshold cs_dom nb_par_cal cal_pars 
#cloveR31
002  101 2  B33 0 0 0 		25 	2  1 2    0.1403  0.331386
003  102 2  B33 0 0 0	 	10 	2  1 2    1.2895  0.344907
004  103 2  B31 0 0 0		10	2  1 2   -2.7537  0.342601
005  104 2  B33 0 0 0		22	2  1 2    1.5588  0.340870
006  105 2  B33 0 0 0		15    	2  1 2    2.2608  0.327079
007  106 2  B33 0 0 0		15	2  1 2    1.4623  0.334892
008  107 2  B33 0 0 0		15	2  1 2    6.3623  0.334608
009  108 2  B33 0 0 0		18	2  1 2    0.8752  0.322914
000  109 1  B33 0 0 0 		10 	1  1 2    1.7272  0.333375
001  110 10  B33 0 0 0 		10 	0  1 2    3.6740  0.967604
102  111 2  G33 -31 0 0		12	1  1 2    0.9604  0.339620
103  112 2  G33 -31 0 0		14	1  1 2   -1.5732  0.345723
104  113 2  G33 -31 0 0		17	2  1 2    1.5380  0.337558
105  114 2  G33 -31 0 0		16	2  1 2   -3.6198  0.344602
106  115 2  G33 -31 0 0		20	2  1 2    2.1490  0.339135
107  116 2  G33 -31 0 0		15	2  1 2    1.6791  0.344103
108  117 2  G33 -31 0 0		14	2  1 2    0.5097  0.346046
109  118 2  G33 -31 0 0		12	2  1 2   -0.6736  0.340746
100  119 1  G33 -31 0 0		20	1  1 2    3.6320  0.330855
101  120 10 G33 -31 0 0	        20	0  1 2    1.0273  0.982777 
202  121 2  R31 -52 0 0		16	2  1 2    0.6716  0.328615
203  122 2  R31 -52 0 0		19	2  1 2   -0.5346  0.335182
204  123 2  R31 -52 0 0		14	2  1 2    0.1108  0.325334
205  124 2  R31 -52 0 0		15	2  1 2    1.5822  0.321008
206  125 2  R31 -52 0 0		15	2  1 2    1.1299  0.335912
207  126 2  R31 -52 0 0		15	2  1 2   -0.9463  0.323961
208  127 2  R31 -52 0 0		15	2  1 2    0.4461  0.338552
209  128 2  R31 -52 0 0		15	2  1 2   -2.0556  0.330046
200  129 1  R31 -52 0 0		11	1  1 2    4.4151  0.323372
201  130 10  R31 -52 0 0	10	0  1 2   -0.2464  0.943603
302  131 2  W31 -72 0 0		15	2  1 2   -1.7486  0.337166
303  132 2  W31 -72 0 0		15	2  1 2    1.5006  0.330984
304  133 2  W31 -72 0 0		15	2  1 2   -0.6269  0.339645
305  134 2  W31 -72 0 0		15	2  1 2    2.5845  0.335837
306  135 2  W31 -72 0 0		15	2  1 2    0.2356  0.332304
307  136 2  W31 -72 0 0		15	2  1 2    3.4628  0.338766
308  137 2  W31 -72 0 0		15	2  1 2   -2.1929  0.338544
309  138 2  W31 -72 0 0		15	2  1 2    5.0454  0.321874
300  139 1  W31 -72 0 0		15	1  1 2   -0.9146  0.343385
301  140 10  W31 -72 0 0	10	0  1 2    1.2726  0.985438
#pulser
#015  50 9   GEN 0 0 0		10	0  0 2 0.0000 1.000000
#115  51 9   GEN 0 0 36950 	10	0  0 2 0.0000 1.000000
#215  52 9   GEN 0 0 50650	10	0  0 2 0.0000 1.000000
#315  53 9   GEN 0 0 71550	10	0  0 2 0.0000 1.000000
#407  54 9   GEN 0 0 108650	10	0  0 2 0.0000 1.000000
#507  55 9   GEN 0 0 129350	10	0  0 2 0.0000 1.000000
#bgo_board1_front
#400 150 5 0 0 0 0		200 	1  1 2 0.0000 1.000000
#401 151 5 0 0 0 0		200 	1  1 2 0.0000 1.000000
#402 152 5 0 0 0 0		200 	1  1 2 0.0000 1.000000
#403 153 5 0 0 0 0		200 	1  1 2 0.0000 1.000000
#bgo_board2_side
#500 154 6 0 0 0 0		200 	1  1 2 0.0000 1.000000
#501 155 6 0 0 0 0		200 	1  1 2 0.0000 1.000000
#502 156 6 0 0 0 0		200 	1  1 2 0.0000 1.000000
#503 157 6 0 0 0 0		200 	1  1 2 0.0000 1.000000
#504 158 4 0 0 0 0		200 	1  1 2 0.0000 1.000000
#505 159 4 0 0 0 0		200 	1  1 2 0.0000 1.000000
