5daq_ch domain det_def clover Time_Offset thete phi threshold cs_dom nb_par_cal cal_pars 
#cloveR31
002  101 2  B33 0 0 0 		25 	2  1 2   0.0741 0.331357
003  102 2  B33 0 0 0	 	10 	2  1 2   1.0693 0.343385
004  103 2  B31 0 0 0		10	2  1 2   -2.0556 0.342365
005  104 2  B33 0 0 0		22	2  1 2   2.2420 0.340820
006  105 2  B33 0 0 0		15    	2  1 2   2.8240 0.327001
007  106 2  B33 0 0 0		15	2  1 2   -0.1990 0.335334
008  107 2  B33 0 0 0		15	2  1 2   6.0663 0.334739
009  108 2  B33 0 0 0		18	2  1 2   -0.6624 0.323340
000  109 1  B33 0 0 0 		10 	1  1 2   1.8385 0.333336
001  110 10  B33 0 0 0 		10 	0  1 2   3.1299 0.967787
102  111 2  G33 -31 0 0		12	1  1 2   1.6953 0.339334
103  112 2  G33 -31 0 0		14	1  1 2   -1.4435 0.345712
104  113 2  G33 -31 0 0		17	2  1 2   1.6344 0.337508
105  114 2  G33 -31 0 0		16	2  1 2   -3.3160 0.344626
106  115 2  G33 -31 0 0		20	2  1 2   2.1917 0.339139
107  116 2  G33 -31 0 0		15	2  1 2   2.2344 0.344029
108  117 2  G33 -31 0 0		14	2  1 2   1.2674 0.345811
109  118 2  G33 -31 0 0		12	2  1 2   -0.1074 0.340625
100  119 1  G33 -31 0 0		20	1  1 2   2.8283 0.332089
101  120 10 G33 -31 0 0	        20	0  1 2   0.9038 0.983218
202  121 2  R31 -52 0 0		16	2  1 2   0.5728 0.328731
203  122 2  R31 -52 0 0		19	2  1 2   -0.9548 0.335289
204  123 2  R31 -52 0 0		14	2  1 2   -0.0037 0.325313
205  124 2  R31 -52 0 0		15	2  1 2   1.1341 0.321184
206  125 2  R31 -52 0 0		15	2  1 2   0.8719 0.336031
207  126 2  R31 -52 0 0		15	2  1 2   -1.2503 0.324075
208  127 2  R31 -52 0 0		15	2  1 2   0.4967 0.338588
209  128 2  R31 -52 0 0		15	2  1 2   -1.9128 0.330100
200  129 1  R31 -52 0 0		11	1  1 2   1.5620 0.323730
201  130 10  R31 -52 0 0	10	0  1 2   -0.3015 0.943583
302  131 2  W31 -72 0 0		15	2  1 2   -1.7956 0.337279
303  132 2  W31 -72 0 0		15	2  1 2   0.7922 0.331226
304  133 2  W31 -72 0 0		15	2  1 2   0.8403 0.339304
305  134 2  W31 -72 0 0		15	2  1 2   2.0150 0.336054
306  135 2  W31 -72 0 0		15	2  1 2   -0.3018 0.332511
307  136 2  W31 -72 0 0		15	2  1 2   2.6850 0.339026
308  137 2  W31 -72 0 0		15	2  1 2   -1.8217 0.338501
309  138 2  W31 -72 0 0		15	2  1 2   3.2419 0.322322
300  139 1  W31 -72 0 0		15	1  1 2   -0.1570 0.343138
301  140 10  W31 -72 0 0	10	0  1 2   2.5638 0.983931
#pulser
#015  50 9   GEN 0 0 0		10	0  0 2 0.0000 1.000000
#115  51 9   GEN 0 0 36950 	10	0  0 2 0.0000 1.000000
#215  52 9   GEN 0 0 50650	10	0  0 2 0.0000 1.000000
#315  53 9   GEN 0 0 71550	10	0  0 2 0.0000 1.000000
#407  54 9   GEN 0 0 108650	10	0  0 2 0.0000 1.000000
#507  55 9   GEN 0 0 129350	10	0  0 2 0.0000 1.000000
#bgo_board1_front
#400 150 5 0 0 0 0		200 	1  1 2 0.0000 1.000000
#401 151 5 0 0 0 0		200 	1  1 2 0.0000 1.000000
#402 152 5 0 0 0 0		200 	1  1 2 0.0000 1.000000
#403 153 5 0 0 0 0		200 	1  1 2 0.0000 1.000000
#bgo_board2_side
#500 154 6 0 0 0 0		200 	1  1 2 0.0000 1.000000
#501 155 6 0 0 0 0		200 	1  1 2 0.0000 1.000000
#502 156 6 0 0 0 0		200 	1  1 2 0.0000 1.000000
#503 157 6 0 0 0 0		200 	1  1 2 0.0000 1.000000
#504 158 4 0 0 0 0		200 	1  1 2 0.0000 1.000000
#505 159 4 0 0 0 0		200 	1  1 2 0.0000 1.000000
