5daq_ch domain det_def clover Time_Offset thete phi threshold cs_dom nb_par_cal cal_pars 
#cloveR31
002  101 2  B33 0 0 0 		25 	2  1 2  -0.4157 1.326893
003  102 2  B33 0 0 0	 	10 	2  1 2  0.0068 1.380722
004  103 2  B31 0 0 0		10	2  1 2  -0.0000 1.000000
005  104 2  B33 0 0 0		22	2  1 2  -2.1067 1.368579
006  105 2  B33 0 0 0		15    	2  1 2  -1.3400 1.314907
007  106 2  B33 0 0 0		15	2  1 2  -1.5709 1.343449
008  107 2  B33 0 0 0		15	2  1 2  -7.1485 1.350834
009  108 2  B33 0 0 0		18	2  1 2  -5.5151 1.298825
000  109 1  B33 0 0 0 		10 	1  1 2  -2.3581 1.335764
001  110 10  B33 0 0 0 		10 	0  1 2  -4.2143 3.873941
102  111 2  G33 -31 0 0		12	1  1 2  -3.6580 1.361857
103  112 2  G33 -31 0 0		14	1  1 2  -3.5190 1.386080
104  113 2  G33 -31 0 0		17	2  1 2  -0.4667 1.352946
105  114 2  G33 -31 0 0		16	2  1 2  5.1469 1.370072
106  115 2  G33 -31 0 0		20	2  1 2  -2.2631 1.363314
107  116 2  G33 -31 0 0		15	2  1 2  -4.1351 1.384210
108  117 2  G33 -31 0 0		14	2  1 2  -1.1416 1.386325
109  118 2  G33 -31 0 0		12	2  1 2  -1.7401 1.365936
100  119 1  G33 -31 0 0		20	1  1 2  -7.0529 1.330959
101  120 10 G33 -31 0 0	        20	0  1 2  -1.3151 3.934250
202  121 2  R31 -52 0 0		16	2  1 2  0.1511 1.315305
203  122 2  R31 -52 0 0		19	2  1 2  -1.2725 1.340284
204  123 2  R31 -52 0 0		14	2  1 2  -0.4719 1.301979
205  124 2  R31 -52 0 0		15	2  1 2  -0.7674 1.286501
206  125 2  R31 -52 0 0		15	2  1 2  0.5174 1.345225
207  126 2  R31 -52 0 0		15	2  1 2  -5.3871 1.300231
208  127 2  R31 -52 0 0		15	2  1 2  -0.8435 1.357815
209  128 2  R31 -52 0 0		15	2  1 2  -2.5475 1.322064
200  129 1  R31 -52 0 0		11	1  1 2  -3.0061 1.298512
201  130 10  R31 -52 0 0	10	0  1 2  0.0547 3.764350
302  131 2  W31 -72 0 0		15	2  1 2  -1.3837 1.348064
303  132 2  W31 -72 0 0		15	2  1 2  -2.5848 1.328867
304  133 2  W31 -72 0 0		15	2  1 2  1.2584 1.357724
305  134 2  W31 -72 0 0		15	2  1 2  -1.3027 1.347712
306  135 2  W31 -72 0 0		15	2  1 2  -1.1165 1.332044
307  136 2  W31 -72 0 0		15	2  1 2  -0.2820 1.361735
308  137 2  W31 -72 0 0		15	2  1 2  0.4729 1.351059
309  138 2  W31 -72 0 0		15	2  1 2  -3.9341 1.296330
300  139 1  W31 -72 0 0		15	1  1 2  -4.1415 1.374847
301  140 10  W31 -72 0 0	10	0  1 2  -8.3280 3.954005
#pulser
#015  50 9   GEN 0 0 0		10	0  0 2 0.0000 1.000000
#115  51 9   GEN 0 0 36950 	10	0  0 2 0.0000 1.000000
#215  52 9   GEN 0 0 50650	10	0  0 2 0.0000 1.000000
#315  53 9   GEN 0 0 71550	10	0  0 2 0.0000 1.000000
#407  54 9   GEN 0 0 108650	10	0  0 2 0.0000 1.000000
#507  55 9   GEN 0 0 129350	10	0  0 2 0.0000 1.000000
#bgo_board1_front
#400 150 5 0 0 0 0		200 	1  1 2 0.0000 1.000000
#401 151 5 0 0 0 0		200 	1  1 2 0.0000 1.000000
#402 152 5 0 0 0 0		200 	1  1 2 0.0000 1.000000
#403 153 5 0 0 0 0		200 	1  1 2 0.0000 1.000000
#bgo_board2_side
#500 154 6 0 0 0 0		200 	1  1 2 0.0000 1.000000
#501 155 6 0 0 0 0		200 	1  1 2 0.0000 1.000000
#502 156 6 0 0 0 0		200 	1  1 2 0.0000 1.000000
#503 157 6 0 0 0 0		200 	1  1 2 0.0000 1.000000
#504 158 4 0 0 0 0		200 	1  1 2 0.0000 1.000000
#505 159 4 0 0 0 0		200 	1  1 2 0.0000 1.000000
