5daq_ch domain det_def clover Time_Offset thete phi threshold cs_dom nb_par_cal cal_pars 
#cloveR31
002  101 2  B33 0 0 0 			25 	2  1 2    -0.0574  0.331171
003  102 2  B33 0 0 0	 		10 	2  1 2   2.8754  0.344280
004  103 2  B31 0 0 0			10	2  1 2   -0.5764  0.341715 
005  104 2  B33 0 0 0			22	2  1 2    1.7484  0.340768 
006  105 2  B33 0 0 0	 		15    	2  1 2    1.2501  0.327007
007  106 2  B33 0 0 0	 		15	2  1 2   -0.2975  0.335142 
008  107 2  B33 0 0 0	 		15	2  1 2    6.4065  0.334775  
009  108 2  B33 0 0 0	 		18	2  1 2    3.4046  0.321972
000  109 1  B33 0 0 0 			10 	1  1 2    1.6694  0.333175
001  110 1  B33 0 0 0  		10 	0  1 2    5.9041   0.965938 
#
102  111 2  G33 -31 0 0    		12	1  1 2   -0.0561  0.339630
103  112 2  G33 -31 0 0		14	1  1 2  -1.3337  0.345471
104  113 2  G33 -31 0 0		17	2  1 2   -0.5458  0.337881
105  114 2  G33 -31 0 0		16	2  1 2  -3.4380  0.344575
106  115 2  G33 -31 0 0		20	2  1 2   2.3321  0.338798
107  116 2  G33 -31 0 0		15	2  1 2   2.6383  0.343559
108  117 2  G33 -31 0 0		14	2  1 2   0.2898  0.345941
109  118 2  G33 -31 0 0		12	2  1 2   -0.6144  0.340425 
100  119 1  G33 -31 0 0		20	1  1 2   2.3771  0.330945
101  120 1  G33 -31 0 0 	        20	0  1 2  1.0317  0.982246   
#
202  121 2  R31 -52 0 0		16	2  1 2    1.0255  0.328426   
203  122 2  R31 -52 0 0		19	2  1 2   -0.4105  0.334949  
204  123 2  R31 -52 0 0		14	2  1 2   -0.1360  0.325190  
205  124 2  R31 -52 0 0		15	2  1 2    0.9506  0.321237  
206  125 2  R31 -52 0 0		15	2  1 2    0.7367  0.335766  
207  126 2  R31 -52 0 0		15	2  1 2   -0.9203  0.323848  
208  127 2  R31 -52 0 0		15	2  1 2    0.6118  0.338680 
209  128 2  R31 -52 0 0		15	2  1 2   -0.6795  0.329462 
200  129 1  R31 -52 0 0		11	1  1 2    2.3349  0.323725  
201  130 1  R31 -52 0 0		10	0  1 2    1.1908  0.942492 
#
302  131 2  W31 -72 0 0		15	2  1 2  -5.9428  0.338096 
303  132 2  W31 -72 0 0		15	2  1 2   0.4506  0.331071
304  133 2  W31 -72 0 0		15	2  1 2  0.3439  0.339220
305  134 2  W31 -72 0 0		15	2  1 2   2.0625  0.335943 
306  135 2  W31 -72 0 0		15	2  1 2  0.3676  0.332059 
307  136 2  W31 -72 0 0		15	2  1 2    3.5731  0.338450
308  137 2  W31 -72 0 0		15	2  1 2 -1.6615  0.338266 
309  138 2  W31 -72 0 0		15	2  1 2   5.6728  0.321479
300  139 1  W31 -72 0 0		15	1  1 2   7.1131  1.136985
301  140 1  W31 -72 0 0		10	0  1 2  -0.5644  0.343286
#pulser
#015  50 9   GEN 0 0 0		10	0  0 2 0.0000 1.000000
#115  51 9   GEN 0 0 36950 	10	0  0 2 0.0000 1.000000
#215  52 9   GEN 0 0 50650	10	0  0 2 0.0000 1.000000
#315  53 9   GEN 0 0 71550	10	0  0 2 0.0000 1.000000
#407  54 9   GEN 0 0 108650	10	0  0 2 0.0000 1.000000
#507  55 9   GEN 0 0 129350	10	0  0 2 0.0000 1.000000
#bgo_board1_front
#400 150 5 0 0 0 0		200 	1  1 2 0.0000 1.000000
#401 151 5 0 0 0 0		200 	1  1 2 0.0000 1.000000
#402 152 5 0 0 0 0		200 	1  1 2 0.0000 1.000000
#403 153 5 0 0 0 0		200 	1  1 2 0.0000 1.000000
#bgo_board2_side
#500 154 6 0 0 0 0		200 	1  1 2 0.0000 1.000000
#501 155 6 0 0 0 0		200 	1  1 2 0.0000 1.000000
#502 156 6 0 0 0 0		200 	1  1 2 0.0000 1.000000
#503 157 6 0 0 0 0		200 	1  1 2 0.0000 1.000000
#504 158 4 0 0 0 0		200 	1  1 2 0.0000 1.000000
#505 159 4 0 0 0 0		200 	1  1 2 0.0000 1.000000
