5daq_ch domain det_def clover Time_Offset thete phi threshold cs_dom nb_par_cal cal_pars 
#cloveR29
002  101 2  B33 0 0 0 		25 	2  1 2   -0.0927 0.341208
003  102 2  B33 0 0 0	 	10 	2  1 2    0.5360 0.341098
004  103 2  B31 0 0 0		10	2  1 2    0.2821 0.337437
005  104 2  B33 0 0 0		22	2  1 2    0.2200 0.340110
006  105 2  B33 0 0 0		15    	2  1 2   -0.2403 0.342929
007  106 2  B33 0 0 0		15	2  1 2    0.6809 0.332781
008  107 2  B33 0 0 0		15	2  1 2    0.1212 0.338044
009  108 2  B33 0 0 0		18	2  1 2    0.2183 0.315283
000  109 1  B33 0 0 0 		10 	1  1 2    0.1556 0.968837
001  110 10  B33 0 0 0 	10 	0  1 2   -0.0000 1.000000
102  111 2  G33 -31 0 0	12	1  1 2    0.2624 0.334687
103  112 2  G33 -31 0 0	14	1  1 2    0.2082 0.338111
104  113 2  G33 -31 0 0	17	2  1 2   -0.0003 0.333590
105  114 2  G33 -31 0 0	16	2  1 2   -0.1560 0.338032
106  115 2  G33 -31 0 0	20	2  1 2    0.1092 0.333552
107  116 2  G33 -31 0 0	15	2  1 2    0.3029 0.330261
108  117 2  G33 -31 0 0	14	2  1 2   -0.0034 0.337093
109  118 2  G33 -31 0 0	12	2  1 2    0.2313 0.312353
100  119 1  G33 -31 0 0	20	1  1 2    1.2307 0.996902
101  120 10 G33 -31 0 0	20	0  1 2   -0.0000 1.000000
202  121 2  R31 -52 0 0	16	2  1 2    0.2117 0.328463
203  122 2  R31 -52 0 0	19	2  1 2   -0.9548 0.335289
204  123 2  R31 -52 0 0	14	2  1 2    0.4560 0.332424
205  124 2  R31 -52 0 0	15	2  1 2    0.4041 0.335441
206  125 2  R31 -52 0 0	15	2  1 2    0.3730 0.323211
207  126 2  R31 -52 0 0	15	2  1 2    0.5861 0.329978
208  127 2  R31 -52 0 0	15	2  1 2   -0.1205 0.336809
209  128 2  R31 -52 0 0	15	2  1 2    0.0439 0.325350
200  129 1  R31 -52 0 0	11	1  1 2    0.5060 0.970282
201  130 10  R31 -52 0 0	10	0  1 2   -0.0000 1.00000
302  131 2  W31 -72 0 0	15	2  1 2   -1.3258 0.334303
303  132 2  W31 -72 0 0	15	2  1 2   -0.4860 0.322997
304  133 2  W31 -72 0 0	15	2  1 2    0.4038 0.328049
305  134 2  W31 -72 0 0	15	2  1 2    0.1875 0.328539
306  135 2  W31 -72 0 0	15	2  1 2   0.4397 0.332505
307  136 2  W31 -72 0 0	15	2  1 2   0.3795 0.324269
308  137 2  W31 -72 0 0	15	2  1 2   -0.0379 0.329429
309  138 2  W31 -72 0 0	15	2  1 2   0.0876 0.324656
300  139 1  W31 -72 0 0	15	1  1 2   -0.5051 0.931607
301  140 10  W31 -72 0 0	10	0  1 2   -0.0000 1.000000
#pulser
#015  50 9   GEN 0 0 0		10	0  0 2 0.0000 1.000000
#115  51 9   GEN 0 0 36950 	10	0  0 2 0.0000 1.000000
#215  52 9   GEN 0 0 50650	10	0  0 2 0.0000 1.000000
#315  53 9   GEN 0 0 71550	10	0  0 2 0.0000 1.000000
#407  54 9   GEN 0 0 108650	10	0  0 2 0.0000 1.000000
#507  55 9   GEN 0 0 129350	10	0  0 2 0.0000 1.000000
#bgo_board1_front
#400 150 5 0 0 0 0		200 	1  1 2 0.0000 1.000000
#401 151 5 0 0 0 0		200 	1  1 2 0.0000 1.000000
#402 152 5 0 0 0 0		200 	1  1 2 0.0000 1.000000
#403 153 5 0 0 0 0		200 	1  1 2 0.0000 1.000000
#bgo_board2_side
#500 154 6 0 0 0 0		200 	1  1 2 0.0000 1.000000
#501 155 6 0 0 0 0		200 	1  1 2 0.0000 1.000000
#502 156 6 0 0 0 0		200 	1  1 2 0.0000 1.000000
#503 157 6 0 0 0 0		200 	1  1 2 0.0000 1.000000
#504 158 4 0 0 0 0		200 	1  1 2 0.0000 1.000000
#505 159 4 0 0 0 0		200 	1  1 2 0.0000 1.000000
