#daq_ch domain det_def clover Time_Offset thete phi threshold cs_dom nb_par_cal cal_pars 
#CLOVECL31R
002  101 2  CL31B 0 0 0 		25 	2  1 2  0.0000 1.000000 
003  102 2  CL31B 0 0 0	 	10 	2  1 2  0.0000 1.000000
004  103 2  CL31B 0 0 0		10	2  1 2  0.0000 1.000000
005  104 2  CL31B 0 0 0		22	2  1 2  0.0000 1.000000
006  105 2  CL31B 0 0 0	 	15    	2  1 2  0.0000 1.000000
007  106 2  CL31B 0 0 0	 	15	2  1 2  0.0000 1.000000 
008  107 2  CL31B 0 0 0	 	15	2  1 2  0.0000 1.000000
009  108 2  CL31B 0 0 0	 	18	2  1 2  0.0000 1.000000
000  109 11  CL31B 0 0 0 		10 	1  1 2  0.0000 1.000000
001  110 1  CL31B 0 0 0  		10 	0  1 2  0.0000 1.000000 
#
102  111 2  CL31G 0 0 0    	12	1  1 2 0.0000 1.000000
103  112 2  CL31G 0 0 0		14	1  1 2 0.0000 1.000000
104  113 2  CL31G 0 0 0		17	2  1 2 0.0000 1.000000
105  114 2  CL31G 0 0 0		16	2  1 2 0.0000 1.000000
106  115 2  CL31G 0 0 0		20	2  1 2 0.0000 1.000000
107  116 2  CL31G 0 0 0		15	2  1 2 0.0000 1.000000
108  117 2  CL31G 0 0 0		14	2  1 2 0.0000 1.000000
109  118 2  CL31G 0 0 0		12	2  1 2 0.0000 1.000000
100  119 11  CL31G 0 0 0		20	1  1 2 0.0000 1.000000
101  120 1  CL31G 0 00 	        20	0  1 2 0.0000 1.000000
#
202  121 2  CL31R 0 0 0		16	2  1 2 0.0000 1.000000
203  122 2  CL31R 0 0 0		19	2  1 2 0.0000 1.000000
204  123 2  CL31R 0 0 0		14	2  1 2 0.0000 1.000000
205  124 2  CL31R 0 0 0		15	2  1 2 0.0000 1.000000
206  125 2  CL31R 0 0 0		15	2  1 2 0.0000 1.000000
207  126 2  CL31R 0 0 0		15	2  1 2 0.0000 1.000000
208  127 2  CL31R 0 0 0		15	2  1 2 0.0000 1.000000
209  128 2  CL31R 0 0 0		15	2  1 2 0.0000 1.000000
200  129 11  CL31R 0 0 0		11	1  1 2 0.0000 1.000000
201  130 1  CL31R 0 0 0		10	0  1 2 0.0000 1.000000
#
302  131 2  CL31W 0 0 0		15	2  1 2 0.0000 1.000000 
303  132 2  CL31W 0 0 0		15	2  1 2 0.0000 1.000000
304  133 2  CL31W 0 0 0		15	2  1 2 0.0000 1.000000
305  134 2  CL31W 0 0 0		15	2  1 2 0.0000 1.000000
306  135 2  CL31W 0 0 0		15	2  1 2 0.0000 1.000000
307  136 2  CL31W 0 0 0		15	2  1 2 0.0000 1.000000
308  137 2  CL31W 0 0 0		15	2  1 2 0.0000 1.000000
309  138 2  CL31W 0 0 0		15	2  1 2 0.0000 1.000000
300  139 11  CL31W 0 0 0		15	1  1 2 0.0000 1.000000
301  140 1  CL31W 0 0 0		10	0  1 2 0.0000 1.000000
#pulser
#015  50 9   GEN 0 0 0		10	0  0 2 0.0000 1.000000
#115  51 9   GEN 0 0 36950 	10	0  0 2 0.0000 1.000000
#215  52 9   GEN 0 0 50650	10	0  0 2 0.0000 1.000000
#315  53 9   GEN 0 0 71550	10	0  0 2 0.0000 1.000000
#407  54 9   GEN 0 0 108650	10	0  0 2 0.0000 1.000000
#507  55 9   GEN 0 0 129350	10	0  0 2 0.0000 1.000000
#bgo_board1_front
#400 150 5 0 0 0 0		200 	1  1 2 0.0000 1.000000
#401 151 5 0 0 0 0		200 	1  1 2 0.0000 1.000000
#402 152 5 0 0 0 0		200 	1  1 2 0.0000 1.000000
#403 153 5 0 0 0 0		200 	1  1 2 0.0000 1.000000
#bgo_board2_side
#500 154 6 0 0 0 0		200 	1  1 2 0.0000 1.000000
#501 155 6 0 0 0 0		200 	1  1 2 0.0000 1.000000
#502 156 6 0 0 0 0		200 	1  1 2 0.0000 1.000000
#503 157 6 0 0 0 0		200 	1  1 2 0.0000 1.000000
#504 158 4 0 0 0 0		200 	1  1 2 0.0000 1.000000
#505 159 4 0 0 0 0		200 	1  1 2 0.0000 1.000000
