5daq_ch domain det_def clover Time_Offset thete phi threshold cs_dom nb_par_cal cal_pars 
#clover33
002  101 2  B33 0 0 0 		25 	2  1 2   2.8577 1.248648
003  102 2  B33 0 0 0		10 	2  1 2   -2.5227 1.271523
004  103 2  B33 0 0 0		10	2  1 2   0.9222 1.286765
005  104 2  B33 0 0 0		22	2  1 2   -0.0420 1.274010
006  105 2  B33 0 0 0		15    	2  1 2   -0.4959 1.311627
007  106 2  B33 0 0 0		15	2  1 2   8.2974 1.314263
008  107 2  B33 0 0 0		15	2  1 2   -1.1651 1.473778
009  108 2  B33 0 0 0		18	2  1 2   -4.0854 1.274970
000  109 1  B33 0 0 0 		10 	1  1 3   2.74459     1.2569     -1.77479e-07   
001  110 11  B33 0 0 0  	10 	0  1 2   -2.6725 3.585006
#102  111 2  G33 0 0 0  	12	1  1 2   -0.0000 1.000000
#103  112 2  G33 0 0 0		14	1  1 2   -0.0000 1.000000
#104  113 2  G33 0 0 0		17	2  1 2   -0.0000 1.000000
#105  114 2  G33 0 0 0		16	2  1 2   -0.0000 1.000000
#106  115 2  G33 0 0 0		20	2  1 2   -0.0000 1.000000
#107  116 2  G33 0 0 0		15	2  1 2   -0.0000 1.000000
#108  117 2  G33 0 0 0		14	2  1 2   -0.0000 1.000000
#109  118 2  G33 0 0 0		12	2  1 2   -0.0000 1.000000
#100  119 1  G33 0 0 0		20	1  1 2   -0.0000 1.000000
#101  120 11  G33 0 0 0 	20	0  1 2   -0.0000 1.000000  
202  121 2  R33 0 0 0		16	2  1 2   -0.0521 1.274971
203  122 2  R33 0 0 0		19	2  1 2   2.0733 1.314139
204  123 2  R33 0 0 0		14	2  1 2   0.2929 1.317422
205  124 2  R33 0 0 0		15	2  1 2   2.2012 1.302724
206  125 2  R33 0 0 0		15	2  1 2   -1.1226 1.277588
207  126 2  R33 0 0 0		15	2  1 2   -0.3805 1.267531
208  127 2  R33 0 0 0		15	2  1 2   -0.8009 1.302350
209  128 2  R33 0 0 0		15	2  1 2   -5.3777 1.336930
200  129 1  R33 0 0 0		11	1  1 3   0.824363     1.22771     -2.17166e-07 
201  130 11  R33 0 0 0		10	0  1 2   11.0564 3.630164
302  131 2  W33 0 0 0		15	2  1 2   0.5173 1.292973
303  132 2  W33 0 0 0		15	2  1 2   2.7680 1.362946
304  133 2  W33 0 0 0		15	2  1 2   3.9055 1.314841
305  134 2  W33 0 0 0		15	2  1 2   -4.4508 1.349292
306  135 2  W33 0 0 0		15	2  1 2   0.1295 1.271811
307  136 2  W33 0 0 0		15	2  1 2   7.4224 1.301690
308  137 2  W33 0 0 0		15	2  1 2   -1.1909 1.269179
309  138 2  W33 0 0 0		15	2  1 2   1.8939 1.258350
300  139 1  W33 0 0 0		15	1  1 3   0.0776793     1.23748     -2.76685e-07  
301  140 11  W33 0 0 0		10	0  1 2   -24.1241 3.695218
#pulser
015  50 9   GEN 0 0 0		10	0  0 2 0.0000 1.000000
115  51 9   GEN 0 0 36950 	10	0  0 2 0.0000 1.000000
215  52 9   GEN 0 0 50650	10	0  0 2 0.0000 1.000000
315  53 9   GEN 0 0 71550	10	0  0 2 0.0000 1.000000
407  54 9   GEN 0 0 108650	10	0  0 2 0.0000 1.000000
507  55 9   GEN 0 0 129350	10	0  0 2 0.0000 1.000000
#bgo_board1_front
400 150 5 0 0 0 0		40 	1  1 2 0.0000 1.000000
401 151 5 0 0 0 0		40 	1  1 2 0.0000 1.000000
402 152 5 0 0 0 0		40 	1  1 2 0.0000 1.000000
403 153 5 0 0 0 0		40 	1  1 2 0.0000 1.000000
#bgo_board2_side
500 154 6 0 0 0 0		40 	1  1 2 0.0000 1.000000
501 155 6 0 0 0 0		40 	1  1 2 0.0000 1.000000
502 156 6 0 0 0 0		40 	1  1 2 0.0000 1.000000
503 157 6 0 0 0 0		40 	1  1 2 0.0000 1.000000
504 158 4 0 0 0 0		100 	1  1 2 0.0000 1.000000
505 159 4 0 0 0 0		40 	1  1 2 0.0000 1.000000
