#daq_ch	domain	det_def	clover	Time_Offset	theta	phi	threshold	cs_dom	enable	nb_par_cal	cal_pars1	cal_pars2
2	301	2	CL32B	0	90	0	25	0	1	2	 -0.4718 1.313819	
3	302	2	CL32B	0	90	0	20	0	1	2	 -1.8133 1.270332	
4	303	2	CL32B	0	90	0	10	0	1	2	 -1.7883 1.287210	
5	304	2	CL32B	0	90	0	22	0	1	2	 -0.3439 1.273138	
6	305	2	CL32B	0	90	0	15	0	1	2	 -2.9300 1.287979	
7	306	2	CL32B	0	90	0	15	0	1	2	 -4.8780 1.342367	
8	307	2	CL32B	0	90	0	15	0	1	2	 0.6336 1.274031	
9	308	2	CL32B	0	90	0	18	0	1	2	 -1.6884 1.307866	
0	309	1	CL32B	0	90	0	10	0	1	2	 -4.9449 1.354747	
1	310	10	CL32B	0	90	0	10	0	1	2	 -7.4424 3.996033	
102	311	2	CL32G	0	90	0	12	0	1	2	 -2.1657 1.279365	
103	312	2	CL32G	0	90	0	14	0	1	2	 -2.7381 1.296721	
104	313	2	CL32G	0	90	0	17	0	1	2	 -1.8954 1.266529	
105	314	2	CL32G	0	90	0	16	0	1	2	 -3.3236 1.332109	
106	315	2	CL32G	0	90	0	20	0	1	2	 -1.4789 1.345255	
107	316	2	CL32G	0	90	0	15	0	1	2	 2.7051 1.351481	
108	317	2	CL32G	0	90	0	14	0	1	2	 -6.2544 1.355289	
109	318	2	CL32G	0	90	0	12	0	1	2	 0.9242 1.301333	
100	319	1	CL32G	0	90	0	20	0	1	2	 -3.5474 1.328770	
101	320	10	CL32G	0	90	0	20	0	1	2	 4.0517 3.893098	
202	321	2	CL32R	0	90	0	16	0	1	2	 1.0610 1.278764	
203	322	2	CL32R	0	90	0	19	0	1	2	 2.4103 1.235659	
204	323	2	CL32R	0	90	0	14	0	1	2	 0.6662 1.273045	
205	324	2	CL32R	0	90	0	15	0	1	2	 0.3320 1.250702	
206	325	2	CL32R	0	90	0	15	0	1	2	 3.6120 1.276177	
207	326	2	CL32R	0	90	0	15	0	1	2	 -1.7203 1.320689	
208	327	2	CL32R	0	90	0	15	0	1	2	 -1.6443 1.281894	
209	328	2	CL32R	0	90	0	15	0	1	2	 -2.1553 1.279573	
200	329	1	CL32R	0	90	0	11	0	1	2	 0.8045 1.236662	
201	330	10	CL32R	0	90	0	10	0	1	2	 2.840300 3.896922 	
302	331	2	CL32W	0	90	0	15	0	1	2	 -3.7738 1.286735	
303	332	2	CL32W	0	90	0	15	0	1	2	 -4.0355 1.266716	
304	333	2	CL32W	0	90	0	15	0	1	2	 -3.1379 1.232282	
305	334	2	CL32W	0	90	0	15	0	1	2	 -3.8816 1.353986	
306	335	2	CL32W	0	90	0	15	0	1	2	 -1.2305 1.310120	
307	336	2	CL32W	0	90	0	15	0	1	2	 -1.0925 1.342478	
308	337	2	CL32W	0	90	0	15	0	1	2	 -1.0696 1.284151	
309	338	2	CL32W	0	90	0	15	0	1	2	 -2.4350 1.285633	
300	339	1	CL32W	0	90	0	15	0	1	2	 -3.0151 1.332554	
301	340	10	CL32W	0	90	0	10	0	1	2	 -13.894000 3.732016 	

