#daq_ch	domain	det_def	Serial	theta	Phi	Time_Offset	lowThreshold	cs_dom	nothing	nb_par_cal	cal_pars	cal_pars
#eliade01												
2	101	2	B32	90	0	0	25	0	1	2	-5.2713	0.660574
3	102	2	B32	90	0	0	10	0	1	2	4.1739	0.632151
4	103	2	B32	90	0	0	10	0	1	2	7.4877	0.64125
5	104	2	B32	90	0	0	22	0	1	2	2.4713	0.636968
6	105	2	B32	90	0	0	15	0	1	2	9.2276	0.641741
7	106	2	B32	90	0	0	15	0	1	2	7.6416	0.667004
8	107	2	B32	90	0	0	15	0	1	2	0.2024	0.640026
9	108	2	B32	90	0	0	18	0	1	2	6.4334	0.655368
0	109	1	B32	90	0	0	10	0	1	2	2.9134	0.672694
1	110	10	B32	90	0	0	10	0	1	2	0	1
#												
102	111	2	G32	90	0	0	12	0	1	2	-1.4003	0.642512
103	112	2	G32	90	0	0	14	0	1	2	-1.1431	0.649814
104	113	2	G32	90	0	0	17	0	1	2	2.0472	0.634293
105	114	2	G32	90	0	0	16	0	1	2	5.0302	0.665012
106	115	2	G32	90	0	0	20	0	1	2	2.7366	0.671804
107	116	2	G32	90	0	0	15	0	1	2	6.81	0.674572
108	117	2	G32	90	0	0	14	0	1	2	3.6639	0.674535
109	118	2	G32	90	0	0	12	0	1	2	5.459	0.656309
100	119	1	G32	90	0	0	20	0	1	2	-1.3452	0.66253
101	120	10	G32	90	0	0	20	0	1	2	0	1
#												
#202	121	2	R32	90	0	50500	16	0	1	2	10.7448	3.497397
#203	122	2	R32	90	0	50500	19	0	1	2	-0.8464	0.619298
#204	123	2	R32	90	0	50500	14	0	1	2	1.1358	0.638883
#205	124	2	R32	90	0	50500	15	0	1	2	2.6959	0.626269
#206	125	2	R32	90	0	50500	15	0	1	2	2.0927	0.641272
#207	126	2	R32	90	0	50500	15	0	1	2	1.4505	0.660767
#208	127	2	R32	90	0	50500	15	0	1	2	-1.1619	0.644436
#209	128	2	R32	90	0	50500	15	0	1	2	-1.8631	0.645251
#200	129	1	R32	90	0	50500	11	0	1	2	2.6477	0.61622
#201	130	10	R32	90	0	50500	10	0	1	2	0	1
#												
302	131	2	W32	90	0	71500	15	0	1	2	0.4035	0.643625
303	132	2	W32	90	0	71500	15	0	1	2	3.8851	0.631596
304	133	2	W32	90	0	71500	15	0	1	2	6.4006	0.612941
305	134	2	W32	90	0	71500	15	0	1	2	3.4214	0.676402
306	135	2	W32	90	0	71500	15	0	1	2	3.8619	0.670459
307	136	2	W32	90	0	71500	15	0	1	2	1.3244	0.654848
308	137	2	W32	90	0	71500	15	0	1	2	-1.4717	0.644449
309	138	2	W32	90	0	71500	15	0	1	2	0.3709	0.646375
300	139	1	W32	90	0	71500	15	0	1	2	4.4501	0.661489
301	140	10	W32	90	0	71500	10	0	1	2	0	1
#eliade02												
402	201	2	29	90	0	92500	25	0	1	2	0.3795	0.633283
403	202	2	29	90	0	92500	10	0	1	2	2.8631	0.633985
404	203	2	29	90	0	92500	10	0	1	2	1.7271	0.643213
405	204	2	29	90	0	92500	22	0	1	2	2.3551	0.633102
406	205	2	29	90	0	92500	15	0	1	2	-0.9303	0.635381
407	206	2	29	90	0	92500	15	0	1	2	2.2367	0.664634
408	207	2	29	90	0	92500	15	0	1	2	-3.5044	0.648128
409	208	2	29	90	0	92500	18	0	1	2	-1.7058	0.640646
400	209	1	29	90	0	92500	10	0	1	2	-0.0477	0.634591
401	210	10	29	90	0	92500	10	0	1	2	0	1
#												
502	211	2	29	90	0	113500	12	0	1	2	-0.7387	0.643751
503	212	2	29	90	0	113500	14	0	1	2	-3.4164	0.657031
504	213	2	29	90	0	113500	17	0	1	2	-8.6658	0.647199
505	214	2	29	90	0	113500	16	0	1	2	-1.8083	0.642255
506	215	2	29	90	0	113500	20	0	1	2	4.8029	0.642205
507	216	2	29	90	0	113500	15	0	1	2	4.0072	0.649599
508	217	2	29	90	0	113500	14	0	1	2	1.7164	0.622537
509	218	2	29	90	0	113500	12	0	1	2	4.3805	0.659383
500	219	1	29	90	0	113500	20	0	1	2	2.8781	0.482129
501	220	10	29	90	0	113500	20	0	1	2	0	1
#												
602	221	2	29	90	0	127500	16	0	1	2	-0.5453	0.645707
603	222	2	29	90	0	127500	19	0	1	2	1.2227	0.627829
604	223	2	29	90	0	127500	14	0	1	2	1.8482	0.644343
605	224	2	29	90	0	127500	15	0	1	2	0.3372	0.643323
606	225	2	29	90	0	127500	15	0	1	2	-0.8816	0.627474
607	226	2	29	90	0	127500	15	0	1	2	0.7228	0.667107
608	227	2	29	90	0	127500	15	0	1	2	5.2535	0.650623
609	228	2	29	90	0	127500	15	0	1	2	0.3435	0.65404
600	229	1	29	90	0	127500	11	0	1	2	0.485	0.632857
601	230	10	29	90	0	127500	500	0	1	2	0	1
#												
702	231	2	29	90	0	148500	15	0	1	2	0.9449	0.64137
703	232	2	29	90	0	148500	15	0	1	2	-0.7072	0.633667
704	233	2	29	90	0	148500	15	0	1	2	2.8414	0.653475
705	234	2	29	90	0	148500	15	0	1	2	0.9016	0.643372
706	235	2	29	90	0	148500	15	0	1	2	1.256	0.6489
707	236	2	29	90	0	148500	15	0	1	2	-0.3769	0.643994
708	237	2	29	90	0	148500	15	0	1	2	3.2842	0.627676
709	238	2	29	90	0	148500	15	0	1	2	2.6707	0.621298
700	239	1	29	90	0	148500	15	0	1	2	-1.263	0.635122
701	240	10	29	90	0	148500	10	0	1	2	0	1
#eliade03												
802	301	2	29	90	0	158500	25	0	1	2	-4.6349	0.667782
803	302	2	29	90	0	158500	10	0	1	2	4.0725	0.669266
804	303	2	29	90	0	158500	10	0	1	2	3.4831	0.659811
805	304	2	29	90	0	158500	22	0	1	2	2.6179	0.662029
806	305	2	29	90	0	158500	15	0	1	2	2.4767	0.641269
807	306	2	29	90	0	158500	15	0	1	2	4.9777	0.663305
808	307	2	29	90	0	158500	15	0	1	2	5.7387	0.680296
809	308	2	29	90	0	158500	18	0	1	2	1.7919	0.655838
800	309	1	29	90	0	158500	10	0	1	2	-0.1961	0.659826
801	310	10	29	90	0	158500	10	0	1	2	0	1
#												
902	311	2	G29	90	0	179500	12	0	1	2	0.8583	0.656996
903	312	2	G29	90	0	179500	14	0	1	2	7.3866	0.696533
904	313	2	G29	90	0	179500	17	0	1	2	-1.2974	0.67934
905	314	2	G29	90	0	179500	16	0	1	2	1.4521	0.687597
906	315	2	G29	90	0	179500	20	0	1	2	2.9436	0.6827
907	316	2	G29	90	0	179500	15	0	1	2	4.6591	0.67068
908	317	2	G29	90	0	179500	14	0	1	2	3.0568	0.67596
909	318	2	G29	90	0	179500	12	0	1	2	6.8284	0.672896
900	319	1	G29	90	0	179500	20	0	1	2	-0.359	0.663951
901	320	10	G29	90	0	179500	20	0	1	2	0	1
#												
1002	321	2	R29	90	0	200500	16	0	1	2	8.1356	0.686859
1003	322	2	R29	90	0	200500	19	0	1	2	-3.7862	0.672203
1004	323	2	R29	90	0	200500	14	0	1	2	3.0622	0.675942
