#daq_ch	domain	det_def	clover	Time_Offset	theta	phi	threshold	cs_dom	enable	nb_par_cal	cal_pars1	cal_pars2
2	101	2	CL29B	0	90	0	25	0	1	2	2.0758	1.302221
3	102	2	CL29B	0	90	0	10	0	1	2	-3.0565	1.306096
4	103	2	CL29B	0	90	0	10	0	1	2	1.0572	1.305733
5	104	2	CL29B	0	90	0	22	0	1	2	-2.9284	1.261147
6	105	2	CL29B	0	90	0	15	0	1	2	-0.3109	1.292167
7	106	2	CL29B	0	90	0	15	0	1	2	0.6582	1.353268
8	107	2	CL29B	0	90	0	15	0	1	2	1.9543	1.292203
9	108	2	CL29B	0	90	0	18	0	1	2	-5.3593	1.308358
0	109	1	CL29B	0	90	0	10	0	1	2	0	1
1	110	10	CL29B	0	90	0	10	0	1	2	-7.1195	3.73501
102	111	2	CL29G	34.9093	90	0	12	0	1	2	0.8216	1.250174
103	112	2	CL29G	34.9093	90	0	14	0	1	2	-0.2552	1.267736
104	113	2	CL29G	34.9093	90	0	17	0	1	2	-0.1574	1.261008
105	114	2	CL29G	34.9093	90	0	16	0	1	2	4.0794	1.271038
106	115	2	CL29G	34.9093	90	0	20	0	1	2	-0.4127	1.301249
107	116	2	CL29G	34.9093	90	0	15	0	1	2	-0.4256	1.264725
108	117	2	CL29G	34.9093	90	0	14	0	1	2	-2.3202	1.250225
109	118	2	CL29G	34.9093	90	0	12	0	1	2	0.2594	1.288478
100	119	1	CL29G	34.9093	90	0	20	0	1	2	-2.2498	1.264803
101	120	10	CL29G	34.9093	90	0	20	0	1	2	6.0962	3.738914
202	121	2	CL29R	54.008	90	0	16	0	1	2	-0.8961	1.271191
203	122	2	CL29R	54.008	90	0	19	0	1	2	1.348	1.264352
204	123	2	CL29R	54.008	90	0	14	0	1	2	3.212	1.318715
205	124	2	CL29R	54.008	90	0	15	0	1	2	1.7398	1.289582
206	125	2	CL29R	54.008	90	0	15	0	1	2	-1.2428	1.280313
207	126	2	CL29R	54.008	90	0	15	0	1	2	0.2344	1.340304
208	127	2	CL29R	54.008	90	0	15	0	1	2	2.3634	1.304496
209	128	2	CL29R	54.008	90	0	15	0	1	2	-8.6754	1.296122
